id,_type,objet,nature,source,codeCPV,montant,dureeMois,formePrix,procedure,offresRecues,dateNotification,datePublicationDonnees,dateSignature,acheteur_id,acheteur_nom,titulaires_siret,titulaires_nom,lieuExecution_code,typeGroupementOperateurs,modifications,ref__file_date,correction_doublon,acheteur_siren,acheteur_siret,acheteur_luhn,titulaires_siret_norm,titulaires_siren,titulaires_luhn,cle_dedup,statut_dedup,rne_statut
2805797,Marché,La présente consultation porte sur un marché de prestations de services d’aménagements de génie écologique et de petits terrassements à réaliser dans le cadre de la mise en œuvre des mesures compensatoires hors emprises du projet de construction du Canal Seine Nord Europe. - Marché de prestations d'aménagement des mesures compensatoires et de petits terrassements sur les istes hors DUP du CSNE - Lot C,Marché,AIFE_PLACE,90722000-4,1415383.47,32,Mixte,Procédure avec négociation,3,2025-09-30,2026-01-20,,82953599600039,,72206936600408,,80,Pas de groupement,,2026-06-18 10:06:54,,829535996,82953599600039,OK,72206936600408,722069366,OK,2805797|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2807527,Marché,MS au lot 3 - Fouilles archéologiques à Bourlon et Marquion - B100-S4F09 - Fouille S,Marché,AIFE_PLACE,45112000-5,1853579.0,31,Mixte,Procédure avec négociation,3,2025-09-30,2025-12-10,,82953599600039,,18009226400225,,60,Pas de groupement,,2026-06-18 09:53:58,,829535996,82953599600039,OK,18009226400225,180092264,OK,2807527|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2807607,Marché,"Le marché subséquent de la présente consultation a pour objet une fouille archéologique préventive à Bourlon (Pas-de-Calais) secteur 4.
Les principaux objectifs de la fouille sont la reconnaissance, la caractérisation et le phasage des différentes occupations présentes sur le site, ainsi que l'intégration des données issues de la fouille dans le contexte micro-régional, afin de reconstituer les schémas d'occupation et d'organisation d'un territoire.



",Marché,AIFE_PLACE,45112000-5,318947.0,28,Mixte,Procédure avec négociation,4,2025-09-30,2025-12-10,,82953599600039,,18009226400225,,60,Pas de groupement,,2026-06-18 09:53:58,,829535996,82953599600039,OK,18009226400225,180092264,OK,2807607|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2813047,Marché,Marché subséquent sur le lot 3 - Protohistoire de l'AC 20TRI053C portant sur des fouilles archéologiques préventives sur le territoire de la commune d'ETRICOURT-MANANCOURT (SOMME) pour le S3 - Tranche Opérationnelle 18 - site 13 - Fouille O - S3F06.,Marché,AIFE_PLACE,45112000-5,4327670.13,39,Mixte,Procédure avec négociation,2,2025-10-10,2026-01-20,,82953599600039,,49182568300205,,60,Pas de groupement,,2026-06-18 10:06:54,,829535996,82953599600039,OK,49182568300205,491825683,OK,2813047|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2844722,Marché,"La présente consultation porte sur la réalisation de travaux d’aménagement, de réhabilitation et de construction de quais fluviaux de travaux sur le canal du Nord pour favoriser le transport fluvial dans le cadre des travaux préparatoires du projet de construction du canal Seine-Nord Europe - Secteur 2. 
Les travaux à réaliser sont divisés en deux lots valant marché, portant sur :
•	Lot Q1- M213 - La réhabilitation de quais existants, regroupant les quais de Pont l’Évêque, de Languevoisin, de Rouy-le-Petit et de Péronne,
•	Lot Q2 – M214- La construction du quai neuf de Catigny.
La description précise des travaux et des prestations associées attendus figure au Cahier des Clauses Techniques Particulières (CCTP). - M214 - Lot Q2",Marché,AIFE_PLACE,45241100-9,4228416.0,14,Mixte,Appel d'offres ouvert,4,2025-11-20,2025-12-01,,82953599600039,,32065170600071,,60,Pas de groupement,,2026-06-18 09:53:58,,829535996,82953599600039,OK,32065170600071,320651706,OK,2844722|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2852282,Marché,"L’objet du marché est la fouille archéologique préventive à Beaurains-Les-Noyon (Oise), Tranche opérationnelle 40 - Secteur 2, Site 3, fouille X.",Marché,AIFE_PLACE,45112000-5,1780954.77,47,Mixte,Procédure adaptée,4,2025-11-26,2025-12-10,,82953599600039,,49182568300205,,60,Pas de groupement,,2026-06-18 09:53:58,,829535996,82953599600039,OK,49182568300205,491825683,OK,2852282|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2858002,Marché,"La consultation a pour objet la réalisation de la déviation provisoire de la voie communale Allaines-Bouchavesnes associée à la réalisation du futur Canal Seine-Nord Europe.
Le marché s'inscrit dans le cadre des travaux préparatoires aux travaux principaux de construction de l'écluse d'Allaines.",Marché,AIFE_PLACE,45112500-0,319936.0,6,Mixte,Appel d'offres ouvert,6,2025-12-03,2025-12-03,,82953599600039,,40416412100075,,80,Pas de groupement,,2026-06-18 09:53:58,,829535996,82953599600039,OK,40416412100075,404164121,OK,2858002|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2931198,Marché," Cette fouille archéologique préventive a pour but de procéder à la sauvegarde par l'étude de l'établissement rural prenant place entre le 1er âge du Fer et le Haut Empire, la fouille de la nécropole datée de La Tène D1-D2 ainsi que l'étude du terroir associé.",Marché,AIFE_PLACE,45112000-5,2588673.84,44,Mixte,Procédure avec négociation,4,2026-03-03,2026-03-10,,82953599600039,,18009226400225,,60,Pas de groupement,,2026-06-19 04:08:58,,829535996,82953599600039,OK,18009226400225,180092264,OK,2931198|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2950343,Marché,Réalisation de travaux d'aménagements de génie écologique pour le secteur 2 du Canal Seine-Nord Europe - 2.1 - Sud,Marché,AIFE_PLACE,45100000-8,12134059.78,92,Unitaire,Appel d'offres ouvert,5,2026-04-13,2026-04-13,,82953599600039,,37899836300048,,60,Pas de groupement,,2026-06-18 10:19:22,,829535996,82953599600039,OK,37899836300048,378998363,OK,2950343|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2950348,Marché,Réalisation de travaux d'aménagements de génie écologique pour le secteur 2 du Canal Seine-Nord Europe - 2.2 - Nord,Marché,AIFE_PLACE,45100000-8,8641524.06,92,Unitaire,Appel d'offres ouvert,5,2026-04-13,2026-04-13,,82953599600039,,37899836300048,,60,Pas de groupement,,2026-06-18 10:19:22,,829535996,82953599600039,OK,37899836300048,378998363,OK,2950348|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
